UID,author,length,publication_date,rental_period,subject,title
81490378501273,Leslie Godwin,292,1985-11-30,7,Religious,wispy Hiawatha Midwestern prolix sanitarium aloe
2265183237865,Theresa Scruggs,51,1922-02-15,30,SciFi,deterrent someday indent decennial
38355930389954,Elaine Turner,51,1990-02-27,30,Religious Novels,aquatic certificate flatus flowery slack
12676076159906,Claretta Dewitt,308,1988-06-23,7,HISTORICAL,pre scald pillage minor incomputable
17366175799537,Douglas Barrio,243,1961-01-29,30,Fantasy,hateful division Malagasy
94390875304793,Donald Hoes,283,1927-03-13,30,pop science,Shaffer deodorant torn armload giantess trident
59564182657149,Sherri Campos,192,1916-08-11,30,SHORT-STORIES,conserve aerate diatomic prognosticate melange
78141158410406,Gerald Hundley,183,1928-01-07,30,SHORT STORIES,Dolores zing Galveston Minoan davit
86413140521812,Sara Hammond,485,1955-03-01,7,mystery,inquiry official biotite ablution rodent Dan
30958141877211,Alexandra Sandoval,330,1919-07-15,30,Fantasy,Peggy Peruvian rhinoceros miscible speakeasy Wallis
14173960760430,Jessica Worthey,379,1978-11-25,30,childrens,tumble moiety India Welles convalesce vellum
16947997165058,John Mori,437,2014-08-14,30,teen,nutritious Wotan rightful
16848173590762,John Atkinson,87,1927-11-27,30,LANGUAGES,exhortation beatitude acme
547518113153,Alexander Russell,304,1912-01-03,30,short-stories,effectuate gypsum wash patronage plutonium cosh
3164221064345,Carol Barry,257,1922-07-03,30,scifi,sangaree renal midge rural
15637297262685,Claude Shapiro,344,1960-01-12,7,mystery,Hugo tread Eileen cute hoe
92226675854805,Mel Jaquet,403,1961-12-01,30,HORROR,allegoric Narragansett clockwork
73239605814218,Veronica Willmon,254,1964-10-07,30,Pop Science,gainful genotype winnow
37708806002115,George Crowson,374,1915-01-03,30,historical,felt upon tomato practise straggle flange
37578243880742,Ernest Goodin,259,2007-06-15,30,Teen,Granville refrain gentlewomen debar bacteria dulcet
98141152249348,Robert Robinson,502,1955-06-03,30,Horror,financier pigroot tissue Patti horn
87531265448187,Kirsten Thompson,377,2013-06-16,30,Mystery,Pradesh parallelepiped showcase anywhere outlandish mite
34528408927174,Gregory Smith,250,1924-12-21,30,Fantasy,ellipsometer olefin forfeiture crosstalk
91695354435501,Janice Radford,214,1931-11-20,30,classical novels,euglena creak littleneck mill corrupt rest
40341306697375,Skye Wilson,526,1927-02-24,30,Classics,joyous terry Sudan trickle Aitken
47974081673224,Tommie Bienenstock,287,1997-03-19,30,MYSTERY,Greenblatt contort commissary
61036230041404,Ryan Dejesus,296,1912-03-19,30,religious,laminate gap headstand
46920085310584,Mildred Hayes,377,1925-07-04,7,Politics,lingual saltbush alter Calcutta incognito barnstorm
54554013335597,Jennifer Burt,442,1938-04-16,30,languages,scatterbrain gossip indubitable hexadecimal biplane
65291499678152,Jeffery Curley,393,1901-09-02,30,politics,soybean mouthpart meniscus juke often irony
61860191743484,Michael Cheney,112,1901-09-12,30,Classics,prefab Selena residual
10476683758162,Kevin Hill,119,1938-10-12,7,short stories,Livingston Edmund Trumbull campus icicle fascist
72516341010634,Gordon Clem,424,1956-08-01,30,Short Stories,hesitater Knox formulae
44664238486901,Maria Scott,292,1954-08-20,30,short stories,magnetic auditorium Hoover
34279476177732,Adrian Strickland,423,1958-04-04,30,CHILDRENS NOVELS,lookup phenomenology translucent grantor servitor metaphoric
64396320794705,Roy Jordan,404,1957-03-29,30,political science,little upraise funeral meddle elastomer Goodrich
22141693439072,Kenneth Schad,427,1985-11-03,30,short stories,we'd sappy enterprise
44442715781555,Gerald Echols,90,2017-06-20,30,RELIGIOUS NOVELS,policewoman carne postmark
79642503988609,Cheryl Goodwin,268,2015-04-17,30,religious,obstetrician ogle lacewing sclerotic
4632965707272,Maria Fidler,217,1982-07-25,7,CLASSICAL NOVELS,intercalate adverse Algenib
76921804711964,Elizabeth Barren,187,1997-07-28,30,Teen,Zeus attendant floral
21433154438314,Josephine Richardson,345,1908-10-23,30,pop science,verandah horntail stocky woodwork
45780690312835,John Mclawhorn,297,2000-01-18,30,TEEN,backgammon aid psychiatrist perform
65098173183196,Cristina Morton,272,1916-07-26,30,TEEN NOVELS,retaliatory oxygen mayor lodge
58569341960838,Patricia Musielak,319,1985-05-25,30,LANGUAGES,stencil inertial Francoise slant controller
48630094168952,Thomas Iglesias,577,1930-06-04,30,SciFi,portal eigenvector symbiosis
91926782960857,Byron Porter,304,1964-05-17,7,HISTORICAL NOVELS,antiquated Huxley t Brewster
