DoB,UID,address,ethnic_group,gender,join_date
1964-05-26,6407399394844,M1 2,D,M,1981-08-20
1935-10-19,76509601043881,M24 4,D,M,1973-10-14
1937-03-01,6792108939008,M33 5,D,M,1974-02-25
1964-06-18,10123457846743,M5 4,F,M,1973-01-07
1968-10-24,28422585028351,M40 7,D,M,1984-10-18
1997-08-14,62302879712324,M40 1,D,F,2009-06-15
1978-01-16,70806707774473,M5 4,F,F,2002-05-30
1962-12-31,61413290241679,M7 4,D,M,2000-08-05
1946-01-26,66356860117270,M35 0,B,F,2003-01-25
1958-06-19,75845586362055,M20 1,X,F,1984-03-05
1957-12-04,8967938366892,M3 3,D,F,2001-02-12
1944-06-27,44503293584513,M35 0,A,M,1970-12-11
1938-08-13,84954625345278,M28 1,X,F,2001-01-10
1976-11-14,68258991257474,M40 2,C,M,2017-09-05
1985-12-17,34584574794955,M7 2,D,M,2000-01-24
1976-02-15,95822545378721,M7 4,X,M,2000-12-12
1937-02-26,45434461648249,M8 9,X,F,1970-03-28
2004-12-22,99091131023177,M44 6,X,F,2006-03-04
1989-08-04,92898827960153,M24 1,A,M,1997-10-24
1933-02-08,57400280887244,M22 9,B,F,2009-04-04
1974-08-17,24554699170850,M7 2,F,F,2014-11-27
1939-03-12,55188735814325,M43 7,A,F,1957-12-17
1949-09-24,72288059354761,M8 9,D,F,1987-10-13
2004-07-02,8562793365198,M90 5,F,F,2006-03-06
1958-07-14,68868398990437,M6 7,D,M,1982-03-15
1936-01-20,55783489403394,M28 3,F,F,2012-07-29
1998-05-10,83428074837417,M34 5,A,M,2016-01-04
1987-06-23,26449913465609,M40 1,A,F,2003-02-11
1942-07-11,60552735461523,M19 1,C,M,2010-12-07
1988-03-01,72228987799323,M34 5,X,F,2006-12-05
1969-02-07,51738066747762,M8 5,F,M,1991-05-04
2001-07-08,63618457571613,M26 3,C,M,2016-01-07
1995-08-24,31424035368226,M34 6,X,F,2012-09-16
1985-03-25,13154499881408,M25 9,D,M,1988-11-23
1985-05-30,75002823638475,M9 0,X,M,1992-09-24
1976-11-08,81511929742532,M60 1,C,F,2016-10-24
1958-04-09,38585552185614,M34 5,C,F,1995-02-18
1985-09-20,85634045340049,M41 7,D,M,2008-09-09
1974-03-28,37740387976273,M45 8,A,F,2002-02-02
1994-05-15,79199251691042,M14 7,B,F,2017-08-06
1938-05-12,28591636629017,M34 5,B,F,1975-04-10
1980-02-10,46456723225678,M6 7,D,M,1994-03-08
1994-01-28,93942508169283,M18 7,B,M,2014-05-22
1964-09-06,98506688040952,M24 4,X,M,1974-05-15
1979-06-29,46154559469801,M6 7,F,F,1994-05-17
2007-05-06,77162481132392,M34 5,F,F,2011-03-21
1983-10-17,30554494732249,M1 2,D,M,2010-04-29
2004-06-10,43973278196258,M2 2,A,F,2006-10-31
1980-11-20,30704061994861,M34 5,B,M,2010-09-11
